,Gm#,Date,,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,HomeGame
0,1,201403310,boxscore,ATL,@,MIL,L,0,2,,0-1,4, 1.0,Gallardo,Teheran,Rodriguez,2:45,D,"45,691",-,,False
1,2,201404010,boxscore,ATL,@,MIL,W,5,2,,1-1,3, 1.0,Wood,Lohse,Kimbrel,2:34,N,"21,503",+,,False
2,3,201404020,boxscore,ATL,@,MIL,W,1,0,,2-1,2, 0.5,Harang,Garza,Kimbrel,2:36,D,"21,712",++,,False
3,4,201404040,boxscore,ATL,@,WSN,W,2,1,,3-1,2, 0.5,Avilan,Clippard,Kimbrel,3:03,D,"42,834",+++,,False
4,5,201404050,boxscore,ATL,@,WSN,W,6,2,,4-1,2, 0.5,Teheran,Strasburg,,3:36,N,"37,841",++++,,False
5,6,201404060,boxscore,ATL,@,WSN,L,1,2,,4-2,2, 0.5,Blevins,Wood,Soriano,2:44,D,"34,327",-,,False
6,7,201404080,boxscore,ATL,,NYM,L,0,4,,4-3,3, 1.0,Colon,Harang,,3:07,N,"47,144",--,,True
7,8,201404090,boxscore,ATL,,NYM,W,4,3,,5-3,2, 1.0,Santana,Wheeler,Kimbrel,2:40,N,"19,608",+,,True
8,9,201404100,boxscore,ATL,,NYM,L,4,6,,5-4,2, 2.0,Torres,Avilan,Valverde,3:26,N,"29,470",-,,True
9,10,201404110,boxscore,ATL,,WSN,W-wo,7,6,10,6-4,2, 1.0,Avilan,Blevins,,3:49,N,"28,243",+,,True
10,11,201404120,boxscore,ATL,,WSN,W,6,3,,7-4,1, Tied,Wood,Jordan,Kimbrel,3:33,N,"36,621",++,,True
11,12,201404130,boxscore,ATL,,WSN,W,10,2,,8-4,1,up 1.0,Harang,Gonzalez,,2:56,D,"27,919",+++,,True
12,13,201404140,boxscore,ATL,@,PHI,W,9,6,,9-4,1,up 1.0,Avilan,Diekman,Carpenter,3:41,N,"26,516",++++,,False
13,14,201404160,boxscore,ATL,@,PHI,W,1,0,,10-4,1,up 1.5,Teheran,Lee,,2:29,N,"23,382",+++++,,False
14,15,201404170,boxscore,ATL,@,PHI,L,0,1,,10-5,1,up 1.5,Bastardo,Wood,Papelbon,2:28,D,"25,750",-,,False
15,16,201404180,boxscore,ATL,@,NYM,W,6,0,,11-5,1,up 1.5,Harang,Niese,,2:55,N,"33,199",+,,False
16,17,201404190,boxscore,ATL,@,NYM,W,7,5,,12-5,1,up 2.5,Santana,Colon,Walden,3:13,N,"31,476",++,,False
17,18,201404200,boxscore,ATL,@,NYM,L-wo,3,4,14,12-6,1,up 1.5,Valverde,Schlosser,,4:37,D,"33,131",-,,False
18,19,201404210,boxscore,ATL,,MIA,W-wo,4,2,10,13-6,1,up 2.5,Varvaro,Caminero,,3:41,N,"16,055",+,,True
19,20,201404220,boxscore,ATL,,MIA,L,0,1,,13-7,1,up 2.5,Fernandez,Wood,Cishek,2:08,N,"18,275",-,,True
20,21,201404230,boxscore,ATL,,MIA,W,3,1,,14-7,1,up 2.5,Carpenter,Dunn,Kimbrel,3:01,D,"21,508",+,,True
21,22,201404250,boxscore,ATL,,CIN,W,5,4,,15-7,1,up 2.5,Santana,Bailey,Kimbrel,2:41,N,"31,111",++,,True
22,23,201404260,boxscore,ATL,,CIN,W,4,1,,16-7,1,up 3.0,Hale,Leake,Kimbrel,2:17,N,"33,702",+++,,True
23,24,201404270,boxscore,ATL,,CIN,W-wo,1,0,10,17-7,1,up 3.5,Thomas,Hoover,,3:02,D,"31,446",++++,,True
24,25,201404290,boxscore,ATL,@,MIA,L,0,9,,17-8,1,up 2.5,Fernandez,Wood,,2:07,N,"21,992",-,,False
25,26,201404300,boxscore,ATL,@,MIA,L,3,9,,17-9,1,up 2.0,Eovaldi,Harang,,2:50,N,"15,558",--,,False
26,27,201405010,boxscore,ATL,@,MIA,L,4,5,,17-10,1,up 1.5,Dunn,Thomas,Cishek,2:54,N,"17,836",---,,False
27,28,201405020,boxscore,ATL,,SFG,L,1,2,,17-11,1,up 0.5,Lincecum,Minor,Romo,3:08,N,"29,469",----,,True
28,29,201405030,boxscore,ATL,,SFG,L,1,3,,17-12,1,up 0.5,Vogelsong,Teheran,Romo,2:51,N,"34,648",-----,,True
29,30,201405040,boxscore,ATL,,SFG,L,1,4,,17-13,1,up 0.5,Bumgarner,Wood,Casilla,3:15,D,"30,067",------,,True
30,31,201405050,boxscore,ATL,,STL,L,3,4,,17-14,2, 0.5,Miller,Harang,Rosenthal,3:15,N,"20,048",-------,,True
31,32,201405060,boxscore,ATL,,STL,W,2,1,,18-14,1,up 0.5,Carpenter,Choate,Kimbrel,2:42,N,"18,413",+,,True
32,33,201405070,boxscore,ATL,,STL,L,1,7,,18-15,3, 0.5,Wainwright,Minor,,2:43,N,"21,796",-,,True
33,34,201405090,boxscore,ATL,,CHC,W-wo,3,2,10,19-15,1, Tied,Wood,Wright,,3:07,N,"27,145",+,,True
34,35,201405100,boxscore,ATL,,CHC,W,2,0,,20-15,1,up 1.0,Santana,Schlitter,Kimbrel,2:19,N,"30,658",++,,True
