team_year,batter_age,current_all_stars,lifetime_all_stars,player_salary
BOS2018,27.7,5,16,222205000
CHC2018,27.2,3,13,205373881
SFG2018,29.8,2,13,202060277
WSN2018,27.5,2,13,188886699
NYY2018,27.2,4,16,180743032
HOU2018,28.1,6,13,172781200
SEA2018,29.8,4,12,168832000
LAA2018,29.5,1,7,166849666
LAD2018,28.1,3,15,164703429
NYM2018,28.4,1,16,161403844
STL2018,28.1,2,11,157713667
CLE2018,29.4,6,14,143375233
BAL2018,28.4,1,10,141555833
COL2018,28.7,3,8,136658500
ARI2018,29.2,3,10,134850600
TOR2018,29,1,10,131670772
ATL2018,27.4,4,11,115848667
DET2018,27.9,1,7,111531000
MIN2018,28.2,1,10,110275000
MIL2018,28.9,5,13,109295700
TEX2018,27.4,1,7,106099628
KCR2018,28.6,1,5,95199167
CIN2018,27.2,3,7,94587500
PHI2018,26.7,1,7,93874333
SDP2018,26.9,1,5,93821067
PIT2018,27.8,1,6,88141000
MIA2018,27.5,1,3,86515143
CHW2018,26.5,1,5,75092000
OAK2018,28,2,8,69883333
TBR2018,27.1,2,7,46011667
ARI2017,28.3,4,9,106580200
ATL2017,28.6,1,12,119705250
BAL2017,28.6,1,14,161621633
BOS2017,27.3,3,15,200550750
CHC2017,27.1,1,15,177210667
CHW2017,26.7,1,9,97842000
CIN2017,27.2,2,7,79315786
CLE2017,28.1,5,11,114427167
COL2017,28.3,4,9,106650000
DET2017,29.6,2,13,118375600
HOU2017,28.8,6,14,157656400
KCR2017,28.9,3,15,127555817
LAA2017,29.9,1,6,181125500
LAD2017,27.9,6,17,201466263
MIA2017,28.3,2,10,111591100
MIL2017,27.4,1,7,68439300
MIN2017,27.1,3,11,103932500
NYM2017,28.9,1,11,176615252
NYY2017,28.6,5,16,182424700
OAK2017,28.7,1,7,51560000
PHI2017,26.6,1,7,86276000
PIT2017,28.2,1,7,102953333
SDP2017,26.2,1,6,49248767
SEA2017,29.6,2,11,172438700
SFG2017,29.5,1,14,177399833
STL2017,28,2,13,129652933
TBR2017,28.3,2,10,79473033
TEX2017,28.4,1,11,207326274
TOR2017,31,2,13,158890575
WSN2017,29.2,5,13,175587301
ARI2016,26.7,1,12,78399500
ATL2016,28.9,1,12,74999750
BAL2016,28.5,5,16,153744833
BOS2016,28.5,6,16,218682750
CHC2016,27.4,7,16,176097333
CHW2016,28.3,2,13,113416000
CIN2016,27.8,2,9,77329561
CLE2016,29,3,12,94511067
COL2016,27.8,2,5,89707000
DET2016,30,1,11,199902000
HOU2016,26.4,2,11,89498000
KCR2016,28.5,4,13,125132675
LAA2016,28.5,1,8,139712000
LAD2016,28.9,3,16,231342096
MIA2016,28.3,4,11,72472000
MIL2016,27.5,1,7,52077500
MIN2016,26.9,1,11,93333700
NYM2016,29.5,4,12,155221282
NYY2016,30.1,3,18,193229350
OAK2016,28.7,1,6,54969067
PHI2016,26.9,1,6,84846666
PIT2016,28.9,2,13,81187933
SDP2016,28.1,2,11,50656166
SEA2016,30.5,1,7,137169100
SFG2016,29.1,4,14,177021333
STL2016,28.5,2,12,150353500
TBR2016,27.7,1,8,48223791
TEX2016,28.4,2,12,212117760
TOR2016,30.1,5,16,182690767
WSN2016,28.8,5,12,152967400
ARI2015,26.6,2,8,64434000
ATL2015,28.8,1,13,104037500
BAL2015,27.9,4,12,112989833
BOS2015,28.3,1,19,183931900
CHC2015,26.9,2,15,115306610
CHW2015,28.2,1,10,112889700
CIN2015,29.5,2,12,111572286
CLE2015,28,1,12,59163766
COL2015,28,3,8,96438600
DET2015,28.3,4,14,172284750
HOU2015,26.3,2,12,93256200
KCR2015,29.1,7,16,121590475
LAA2015,28.7,3,10,131522500
LAD2015,29.5,5,16,265140429
MIA2015,27.9,2,12,71231500
MIL2015,28.1,2,11,70869500
MIN2015,28.3,2,9,107755000
NYM2015,28.6,1,12,98874473
NYY2015,31.4,3,15,214051957
OAK2015,27.9,2,11,64016001
PHI2015,28,1,11,103082167
PIT2015,28.2,4,15,104457499
SDP2015,27.6,1,8,125203700
SEA2015,28.6,2,9,130681400
SFG2015,28.9,4,13,180018166
STL2015,28.4,6,14,128241500
TBR2015,28.5,2,8,64571233
TEX2015,28.7,1,11,178860789
TOR2015,29.6,3,17,117917400
WSN2015,28.4,2,14,176496372
ARI2014,27.6,2,13,89926500
ATL2014,26.8,3,9,108081500
BAL2014,28.3,3,16,109097500
BOS2014,29.2,2,21,134628929
CHC2014,26.8,3,7,59800500
CHW2014,27.7,3,7,87475500
CIN2014,29,5,11,102230000
CLE2014,28.6,1,13,73509399
COL2014,27.4,2,9,95403500
DET2014,29.8,4,16,169135500
HOU2014,25.4,1,6,44736800
KCR2014,28.2,3,15,89804075
LAA2014,29.3,2,13,128667000
LAD2014,29.3,4,20,233386026
MIA2014,27.4,2,12,42365400
MIL2014,28.8,4,14,109567000
MIN2014,27.5,2,8,87044000
NYM2014,28.4,1,9,82663615
NYY2014,32.8,3,18,258118959
OAK2014,29.6,6,16,89160900
PHI2014,30.8,1,12,176444967
PIT2014,27.3,3,14,80729000
SDP2014,27.9,2,6,76662100
SEA2014,27.5,4,10,95471000
SFG2014,28.6,3,16,163510167
STL2014,28.6,4,15,129932500
TBR2014,29.3,1,11,77814300
TEX2014,28.4,2,15,129801239
TOR2014,29.2,3,12,136466200
WSN2014,28.8,2,14,137235080
